Дата и время (UTC),Ракета,Площадка,Успех
2006-03-24T22:30:00.000Z,Falcon 1,Kwajalein Atoll,False
2007-03-21T01:10:00.000Z,Falcon 1,Kwajalein Atoll,False
2008-08-03T03:34:00.000Z,Falcon 1,Kwajalein Atoll,False
2008-09-28T23:15:00.000Z,Falcon 1,Kwajalein Atoll,True
2009-07-13T03:35:00.000Z,Falcon 1,Kwajalein Atoll,True
2010-06-04T18:45:00.000Z,Falcon 9,Space Launch Complex 40,True
2010-12-08T15:43:00.000Z,Falcon 9,Space Launch Complex 40,True
2012-05-22T07:44:00.000Z,Falcon 9,Space Launch Complex 40,True
2012-10-08T00:35:00.000Z,Falcon 9,Space Launch Complex 40,True
2013-03-01T19:10:00.000Z,Falcon 9,Space Launch Complex 40,True
2013-09-29T16:00:00.000Z,Falcon 9,Space Launch Complex 4E,True
2013-12-03T22:41:00.000Z,Falcon 9,Space Launch Complex 40,True
2014-01-06T18:06:00.000Z,Falcon 9,Space Launch Complex 40,True
2014-04-18T19:25:00.000Z,Falcon 9,Space Launch Complex 40,True
2014-07-14T15:15:00.000Z,Falcon 9,Space Launch Complex 40,True
2014-08-05T08:00:00.000Z,Falcon 9,Space Launch Complex 40,True
2014-09-07T05:00:00.000Z,Falcon 9,Space Launch Complex 40,True
2014-09-21T05:52:00.000Z,Falcon 9,Space Launch Complex 40,True
2015-01-10T09:47:00.000Z,Falcon 9,Space Launch Complex 40,True
2015-02-11T23:03:00.000Z,Falcon 9,Space Launch Complex 40,True
2015-03-02T03:50:00.000Z,Falcon 9,Space Launch Complex 40,True
2015-04-14T20:10:00.000Z,Falcon 9,Space Launch Complex 40,True
2015-04-27T23:03:00.000Z,Falcon 9,Space Launch Complex 40,True
2015-06-28T14:21:00.000Z,Falcon 9,Space Launch Complex 40,False
2015-12-22T01:29:00.000Z,Falcon 9,Space Launch Complex 40,True
2016-01-17T15:42:00.000Z,Falcon 9,Space Launch Complex 4E,True
2016-03-04T23:35:00.000Z,Falcon 9,Space Launch Complex 40,True
2016-04-08T20:43:00.000Z,Falcon 9,Space Launch Complex 40,True
2016-05-06T05:21:00.000Z,Falcon 9,Space Launch Complex 40,True
2016-05-27T21:39:00.000Z,Falcon 9,Space Launch Complex 40,True
2016-06-15T14:29:00.000Z,Falcon 9,Space Launch Complex 40,True
2016-07-18T04:45:00.000Z,Falcon 9,Space Launch Complex 40,True
2016-08-14T05:26:00.000Z,Falcon 9,Space Launch Complex 40,True
2016-09-01T13:07:00.000Z,Falcon 9,Space Launch Complex 40,False
2017-01-14T17:54:00.000Z,Falcon 9,Space Launch Complex 4E,True
2017-02-19T14:39:00.000Z,Falcon 9,Launch Complex 39A,True
2017-03-16T06:00:00.000Z,Falcon 9,Launch Complex 39A,True
2017-03-30T22:27:00.000Z,Falcon 9,Launch Complex 39A,True
2017-05-01T11:15:00.000Z,Falcon 9,Launch Complex 39A,True
2017-05-15T23:21:00.000Z,Falcon 9,Launch Complex 39A,True
2017-06-03T21:07:00.000Z,Falcon 9,Launch Complex 39A,True
2017-06-23T19:10:00.000Z,Falcon 9,Launch Complex 39A,True
2017-06-25T20:25:00.000Z,Falcon 9,Space Launch Complex 4E,True
2017-07-05T23:35:00.000Z,Falcon 9,Launch Complex 39A,True
2017-08-14T16:31:00.000Z,Falcon 9,Launch Complex 39A,True
2017-08-24T18:50:00.000Z,Falcon 9,Space Launch Complex 4E,True
2017-09-07T13:50:00.000Z,Falcon 9,Launch Complex 39A,True
2017-10-09T12:37:00.000Z,Falcon 9,Space Launch Complex 4E,True
2017-10-11T22:53:00.000Z,Falcon 9,Launch Complex 39A,True
2017-10-30T19:34:00.000Z,Falcon 9,Launch Complex 39A,True
2017-12-15T15:36:00.000Z,Falcon 9,Space Launch Complex 40,True
2017-12-23T01:27:23.000Z,Falcon 9,Space Launch Complex 4E,True
2018-01-08T01:00:00.000Z,Falcon 9,Space Launch Complex 40,True
2018-01-31T21:25:00.000Z,Falcon 9,Space Launch Complex 40,True
2018-02-06T20:45:00.000Z,Falcon Heavy,Launch Complex 39A,True
2018-02-22T14:17:00.000Z,Falcon 9,Space Launch Complex 4E,True
2018-03-06T05:33:00.000Z,Falcon 9,Space Launch Complex 40,True
2018-03-30T14:13:51.000Z,Falcon 9,Space Launch Complex 4E,True
2018-04-02T20:30:41.000Z,Falcon 9,Space Launch Complex 40,True
2018-04-18T22:51:00.000Z,Falcon 9,Space Launch Complex 40,True
2018-05-11T20:14:00.000Z,Falcon 9,Launch Complex 39A,True
2018-05-22T19:47:58.000Z,Falcon 9,Space Launch Complex 4E,True
2018-06-04T04:45:00.000Z,Falcon 9,Space Launch Complex 40,True
2018-06-29T09:42:00.000Z,Falcon 9,Space Launch Complex 40,True
2018-07-22T05:50:00.000Z,Falcon 9,Space Launch Complex 40,True
2018-07-25T11:39:26.000Z,Falcon 9,Space Launch Complex 4E,True
2018-08-07T05:18:00.000Z,Falcon 9,Space Launch Complex 40,True
2018-09-10T04:45:00.000Z,Falcon 9,Space Launch Complex 40,True
