flight_number;name;date_utc;date_local;date_unix;date_precision;upcoming;success;wikipedia
197;SWOT;2022-12-05T00:00:00.000Z;2022-12-04T16:00:00-08:00;1670198400;day;true;N/A;
198;Transporter-6;2022-12-01T00:00:00.000Z;2022-11-30T19:00:00-05:00;1669852800;month;true;N/A;
199;TTL-1;2022-12-01T00:00:00.000Z;2022-11-30T16:00:00-08:00;1669852800;month;true;N/A;
200;WorldView Legion 1 & 2;2022-12-01T00:00:00.000Z;2022-11-30T19:00:00-05:00;1669852800;month;true;N/A;
202;Viasat-3 & Arcturus;2022-12-01T00:00:00.000Z;2022-11-30T19:00:00-05:00;1669852800;month;true;N/A;
203;O3b mPower 3.4;2022-12-01T00:00:00.000Z;2022-11-30T19:00:00-05:00;1669852800;month;true;N/A;
193;ispace Mission 1 & Rashid;2022-11-22T00:00:00.000Z;2022-11-21T19:00:00-05:00;1669075200;day;true;N/A;
194;CRS-26;2022-11-18T22:00:00.000Z;2022-11-18T17:00:00-05:00;1668808800;hour;true;N/A;
192;Eutelsat 10B;2022-11-15T00:00:00.000Z;2022-11-14T19:00:00-05:00;1668470400;day;true;N/A;
191;Galaxy 31 (23R) & 32 (17R);2022-11-08T00:00:00.000Z;2022-11-07T19:00:00-05:00;1667865600;day;true;N/A;
189;Hotbird 13G;2022-11-03T03:24:00.000Z;2022-11-02T23:24:00-04:00;1667445840;hour;true;N/A;
188;USSF-44;2022-11-01T13:41:00.000Z;2022-11-01T09:41:00-04:00;1667310060;hour;true;N/A;
195;Starlink 4-37 (v1.5);2022-11-01T00:00:00.000Z;2022-10-31T20:00:00-04:00;1667260800;month;true;N/A;
196;O3b mPower 1,2;2022-11-01T00:00:00.000Z;2022-10-31T20:00:00-04:00;1667260800;month;true;N/A;
198;SES-18 & SES-19;2022-11-01T00:00:00.000Z;2022-10-31T20:00:00-04:00;1667260800;month;true;N/A;
188;Starlink 4-36 (v1.5);2022-10-20T14:50:00.000Z;2022-10-20T10:50:00-04:00;1666277400;hour;true;N/A;
188;Hotbird 13F;2022-10-15T05:22:00.000Z;2022-10-15T01:22:00-04:00;1665811320;hour;true;N/A;
188;Galaxy 33 (15R) & 34 (12R);2022-10-08T23:05:00.000Z;2022-10-08T19:05:00-04:00;1665270300;hour;true;N/A;
187;Crew-5;2022-10-05T16:00:00.000Z;2022-10-05T12:00:00-04:00;1664985600;hour;false;true;https://en.wikipedia.org/wiki/SpaceX_Crew-5
186;Starlink 4-35 (v1.5);2022-09-24T23:30:00.000Z;2022-09-24T19:30:00-04:00;1664062200;hour;false;true;
185;Starlink 4-34 (v1.5);2022-09-17T01:05:00.000Z;2022-09-16T21:05:00-04:00;1663376700;hour;false;true;
184;Starlink 4-2 (v1.5) & Blue Walker 3;2022-09-11T01:10:00.000Z;2022-09-10T21:10:00-04:00;1662858600;hour;false;true;
183;Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM;2022-09-05T02:09:00.000Z;2022-09-04T22:09:00-04:00;1662343740;hour;false;true;
182;Starlink 3-4 (v1.5);2022-08-31T05:40:00.000Z;2022-08-30T22:40:00-07:00;1661924400;hour;false;true;
181;Starlink 4-23 (v1.5);2022-08-28T02:22:00.000Z;2022-08-27T22:22:00-04:00;1661653320;hour;false;true;
180;Starlink 4-27 (v1.5);2022-08-19T19:24:00.000Z;2022-08-19T15:24:00-04:00;1660937040;hour;false;true;
179;Starlink 3-3 (v1.5);2022-08-12T21:30:00.000Z;2022-08-12T14:30:00-07:00;1660339800;hour;false;true;
178;Starlink 4-26 (v1.5);2022-08-09T22:57:00.000Z;2022-08-09T18:57:00-04:00;1660085820;hour;false;true;
177;KPLO;2022-08-04T23:08:00.000Z;2022-08-04T19:08:00-04:00;1659654480;hour;false;true;
176;Starlink 4-25 (v1.5);2022-07-24T00:00:00.000Z;2022-07-23T20:00:00-04:00;1658620800;day;false;true;
175;Starlink 3-2 (v1.5);2022-07-21T17:13:00.000Z;2022-07-21T10:13:00-07:00;1658423580;hour;false;true;
174;Starlink 4-22 (v1.5);2022-07-17T14:50:00.000Z;2022-07-17T10:50:00-04:00;1658069400;hour;false;true;
173;CRS-25;2022-07-15T00:44:00.000Z;2022-07-14T20:44:00-04:00;1657845840;hour;false;true;
172;Starlink 3-1 (v1.5);2022-07-11T01:39:00.000Z;2022-07-10T18:39:00-07:00;1657503540;hour;false;N/A;
171;Starlink 4-21 (v1.5);2022-07-07T13:11:00.000Z;2022-07-07T09:11:00-04:00;1657199460;hour;false;true;
170;SES-22;2022-06-29T21:04:00.000Z;2022-06-29T17:04:00-04:00;1656536640;hour;false;true;
169;Globalstar FM15;2022-06-19T04:27:00.000Z;2022-06-19T00:27:00-04:00;1655612820;hour;false;true;https://en.wikipedia.org/wiki/Globalstar
168;SARah 1;2022-06-18T14:19:00.000Z;2022-06-18T07:19:00-07:00;1655561940;hour;false;true;
166;Nilesat-301;2022-06-08T21:04:00.000Z;2022-06-08T17:04:00-04:00;1654722240;hour;false;true;https://en.wikipedia.org/wiki/Nilesat
167;Starlink 4-19 (v1.5);2022-06-01T17:08:50.000Z;2022-06-01T13:08:50-04:00;1654103330;hour;false;true;
165;Transporter-5;2022-05-25T18:27:00.000Z;2022-05-25T14:27:00-04:00;1653503220;hour;false;true;
164;Starlink 4-18 (v1.5);2022-05-18T10:40:00.000Z;2022-05-18T06:40:00-04:00;1652870400;hour;false;true;
163;Starlink 4-15 (v1.5);2022-05-14T20:40:00.000Z;2022-05-14T16:40:00-04:00;1652560800;hour;false;true;
162;Starlink 4-13 (v1.5);2022-05-13T22:07:00.000Z;2022-05-13T15:07:00-07:00;1652479620;hour;false;true;
161;Starlink 4-17 (v1.5);2022-05-06T09:42:00.000Z;2022-05-06T05:42:00-04:00;1651830120;hour;false;true;
160;Starlink 4-16 (v1.5);2022-04-29T21:27:00.000Z;2022-04-29T17:27:00-04:00;1651267620;hour;false;true;https://en.wikipedia.org/wiki/Starlink
159;Crew-4;2022-04-27T07:52:00.000Z;2022-04-27T03:52:00-04:00;1651045920;hour;false;true;https://en.wikipedia.org/wiki/SpaceX_Crew-4
158;Starlink 4-14 (v1.5);2022-04-21T15:16:00.000Z;2022-04-21T11:16:00-04:00;1650554160;hour;false;true;https://en.wikipedia.org/wiki/Starlink
157;NROL-85;2022-04-17T13:13:00.000Z;2022-04-17T06:13:00-07:00;1650201180;hour;false;true;https://en.wikipedia.org/wiki/National_Reconnaissance_Office
156;Ax-1;2022-04-08T15:17:00.000Z;2022-04-08T11:17:00-04:00;1649431020;hour;false;true;https://en.wikipedia.org/wiki/Axiom_Mission_1
155;Transporter-4;2022-04-01T16:24:00.000Z;2022-04-01T12:24:00-04:00;1648830240;hour;false;true;
154;Starlink 4-12 (v1.5);2022-03-19T03:24:00.000Z;2022-03-18T23:24:00-04:00;1647660240;hour;false;true;https://en.wikipedia.org/wiki/Starlink
153;Starlink 4-10 (v1.5);2022-03-09T13:45:00.000Z;2022-03-09T08:45:00-05:00;1646833500;hour;false;true;https://en.wikipedia.org/wiki/Starlink
152;Starlink 4-9 (v1.5);2022-03-03T14:35:00.000Z;2022-03-03T09:35:00-05:00;1646318100;hour;false;true;https://en.wikipedia.org/wiki/Starlink
151;Starlink 4-11 (v1.5);2022-02-25T17:12:00.000Z;2022-02-25T09:12:00-08:00;1645809120;hour;false;true;https://en.wikipedia.org/wiki/Starlink
150;Starlink 4-8 (v1.5);2022-02-21T14:44:00.000Z;2022-02-21T09:44:00-05:00;1645454640;hour;false;true;https://en.wikipedia.org/wiki/Starlink
149;Starlink 4-7 (v1.5);2022-02-03T18:13:00.000Z;2022-02-03T13:13:00-05:00;1643911980;hour;false;true;https://en.wikipedia.org/wiki/Starlink
148;NROL-87;2022-02-02T20:18:00.000Z;2022-02-02T12:18:00-08:00;1643833080;hour;false;true;
147;CSG-2;2022-01-31T23:11:12.000Z;2022-01-31T18:11:12-05:00;1643670672;hour;false;true;
146;Starlink 4-6 (v1.5);2022-01-19T00:04:00.000Z;2022-01-18T19:04:00-05:00;1642550640;hour;false;true;https://en.wikipedia.org/wiki/Starlink
145;Transporter-3;2022-01-13T15:25:00.000Z;2022-01-13T10:25:00-05:00;1642087500;hour;false;true;
